meta_info,metric_name,metric_value,node,occurrence_time,resource,severity,subject
{},eks.check_total_procs,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:08:45,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_total_procs
{},eks.check_kubelet_process,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:08:46,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_kubelet_process
{},eks.check_disk,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:08:47,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_disk
{},eks.check_mem,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:08:53,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_mem
{},eks.check_zombie_procs,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:09:29,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_zombie_procs
{},eks.check_dockerd_process,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:09:35,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_dockerd_process
{},eks.check_oomkiller,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:09:47,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_oomkiller
{},eks.check_load,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:09:47,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - eks.check_load
{},opsworks.check_ntp_time,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 23:09:48,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,NULL,PROBLEM - opsworks.check_ntp_time
{},eks.check_load,load1=3.050;64.000;72.000;0; load5=3.350;60.000;68.000;0; load15,EKS.containereast1-prod-main.nolayer.ip-172-16-195-100.ec2.internal,2020-02-28 12:17:00,EKS.containereast1-prod-main.nolayer.ip-172-16-195-100.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=34.360;64.000;72.000;0; load5=37.570;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-119-200.ec2.internal,2020-02-28 12:18:23,EKS.containereast1-prod-main.nolayer.ip-172-16-119-200.ec2.internal,51,PROBLEM - eks.check_load
"{""incident_ref_id"": 9010190743}",eks.check_load,load1=35.790;64.000;72.000;0; load5=36.270;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-66-232.ec2.internal,2020-02-28 12:21:32,EKS.containereast1-prod-main.nolayer.ip-172-16-66-232.ec2.internal,51,FLAPPINGSTART - eks.check_load
{},eks.check_load,load1=41.600;64.000;72.000;0; load5=38.650;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-28 12:24:23,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,FLAPPINGSTART - eks.check_load
{},eks.check_load,load1=40.760;64.000;72.000;0; load5=45.160;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-193-210.ec2.internal,2020-02-28 12:31:03,EKS.containereast1-prod-main.nolayer.ip-172-16-193-210.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=39.240;64.000;72.000;0; load5=42.700;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-64-144.ec2.internal,2020-02-28 12:44:23,EKS.containereast1-prod-main.nolayer.ip-172-16-64-144.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=42.660;64.000;72.000;0; load5=44.590;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-70-108.ec2.internal,2020-02-28 12:45:12,EKS.containereast1-prod-main.nolayer.ip-172-16-70-108.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=40.040;64.000;72.000;0; load5=40.180;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-116-215.ec2.internal,2020-02-28 12:48:32,EKS.containereast1-prod-main.nolayer.ip-172-16-116-215.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},SSD.DatabaseConnections,cloudwatchmetric=2320.6Count;2500;3000,SSD_euc-serverfdkshard3,2020-02-28 12:49:08,SSD_euc-serverfdkshard3,51,PROBLEM - SSD.DatabaseConnections
{},SSD.WriteIOPS,cloudwatchmetric=483.994540619Count/Second;500;600,SSD_euc-global-baikal,2020-02-28 12:49:49,SSD_euc-global-baikal,51,PROBLEM - SSD.WriteIOPS
{},SSD.CPUUtilization,cloudwatchmetric=19.0208333333Percent;20;30,SSD_birept-euc,2020-02-28 12:49:59,SSD_birept-euc,51,PROBLEM - SSD.CPUUtilization
{},opsworks.check_cpu_stats,CpuUser=0.00%;80;90;0; CpuSystem=0.00%;70;80;0; CpuIowait=0.00%;,euc-Node-socket-framework.auth_server.auth-server1,2020-02-28 12:50:07,euc-Node-socket-framework.auth_server.auth-server1,51,CUSTOM - opsworks.check_cpu_stats
{},opsworks.check_screen,,fd-containercentral1-main-blue.fc-app.fc-app-1,2020-02-28 12:50:09,fd-containercentral1-main-blue.fc-app.fc-app-1,101,PROBLEM - opsworks.check_screen
{},SSD.WriteIOPS,cloudwatchmetric=497.077092144Count/Second;500;600,SSD_euc-shard2,2020-02-28 12:50:29,SSD_euc-shard2,51,RECOVERY - SSD.WriteIOPS
{},SSD.DatabaseConnections,cloudwatchmetric=2207.4Count;2500;3000,SSD_euc-shard2,2020-02-28 12:50:59,SSD_euc-shard2,51,PROBLEM - SSD.DatabaseConnections
{},ELB.SurgeQueueLength,cloudwatchmetric=18.0Count;30;35,ELB_euc-activities-elb,2020-02-28 12:53:19,ELB_euc-activities-elb,51,PROBLEM - ELB.SurgeQueueLength
{},eks.check_load,load1=32.770;64.000;72.000;0; load5=56.960;60.000;68.000;0; load,EKS.containerc1-prod-main.nolayer.ip-10-3-213-106.eu-central-1.compute.internal,2020-02-28 12:54:49,EKS.containerc1-prod-main.nolayer.ip-10-3-213-106.eu-central-1.compute.internal,51,PROBLEM - eks.check_load
{},opsworks.check_ebs,,ind-export-service.pollers.pollers1,2020-02-28 12:55:32,ind-export-service.pollers.pollers1,51,RECOVERY - opsworks.check_ebs
{},opsworks.check_load,load1=0.014;4.000;5.000;0; load5=0.015;1.500;2.000;0; load15=0.0,fd-containersouth1-main-blue.fc-bg-sidekiq.sidekiq-common-1,2020-02-28 12:56:22,fd-containersouth1-main-blue.fc-bg-sidekiq.sidekiq-common-1,51,CUSTOM - opsworks.check_load
{},opsworks.check_load,load1=1.125;4.000;5.000;0; load5=1.380;1.500;2.000;0; load15=1.3,euc-xi.mod-gearman.euc-modgearman-cloudwatch-1,2020-02-28 12:58:08,euc-xi.mod-gearman.euc-modgearman-cloudwatch-1,51,PROBLEM - opsworks.check_load
{},eks.check_load,load1=47.910;64.000;72.000;0; load5=57.000;60.000;68.000;0; load,EKS.containerc1-prod-main.nolayer.ip-10-3-220-235.eu-central-1.compute.internal,2020-02-28 13:02:19,EKS.containerc1-prod-main.nolayer.ip-10-3-220-235.eu-central-1.compute.internal,51,PROBLEM - eks.check_load
{},SSD.CPUUtilization,cloudwatchmetric=16.75Percent;20;30,SSD_euc-shard1,2020-02-28 13:02:59,SSD_euc-shard1,51,PROBLEM - SSD.CPUUtilization
{},opsworks.check_cpu_stats,CpuUser=28.04%;80;90;0; CpuSystem=1.15%;70;80;0; CpuIowait=27.02,ind-export-service.pollers.pollers1,2020-02-28 13:03:21,ind-export-service.pollers.pollers1,51,FLAPPINGSTART - opsworks.check_cpu_stats
{},eks.check_load,load1=38.680;64.000;72.000;0; load5=56.300;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-129-247.ec2.internal,2020-02-28 13:04:09,EKS.containereast1-prod-main.nolayer.ip-172-16-129-247.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=38.740;64.000;72.000;0; load5=59.330;60.000;68.000;0; load,EKS.containerc1-prod-main.nolayer.ip-10-3-215-15.eu-central-1.compute.internal,2020-02-28 13:04:21,EKS.containerc1-prod-main.nolayer.ip-10-3-215-15.eu-central-1.compute.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=2.130;64.000;72.000;0; load5=1.930;60.000;68.000;0; load15,EKS.containerse2-prod-main.nolayer.ip-10-21-19-24.ap-southeast-2.compute.internal,2020-02-28 13:06:00,EKS.containerse2-prod-main.nolayer.ip-10-21-19-24.ap-southeast-2.compute.internal,51,CUSTOM - eks.check_load
{},opsworks.check_cpu_stats,CpuUser=65.00%;80;90;0; CpuSystem=3.50%;70;80;0; CpuIowait=0.00%,euc-ETL.rept.rept-cron1,2020-02-28 13:06:59,euc-ETL.rept.rept-cron1,51,PROBLEM - opsworks.check_cpu_stats
{},opsworks.check_cpu_stats,CpuUser=61.62%;80;90;0; CpuSystem=1.52%;70;80;0; CpuIowait=0.00%,euc-ETL.rept.rept-1,2020-02-28 13:07:01,euc-ETL.rept.rept-1,51,PROBLEM - opsworks.check_cpu_stats
{},ELB.HTTPCode_ELB_5XX,cloudwatchmetric=5.0Count;1;2,ELB_aus-serverfdkelb1vpc,2020-02-28 13:08:19,ELB_aus-serverfdkelb1vpc,NULL,PROBLEM - ELB.HTTPCode_ELB_5XX
{},SSD.WriteIOPS,cloudwatchmetric=1756.14956773Count/Second;2000;2100,SSD_serverfdkshard-services,2020-02-28 13:15:30,SSD_serverfdkshard-services,51,PROBLEM - SSD.WriteIOPS
{},eks.check_total_procs,procs=1213;2400;2800;0;,EKS.containereast1-prod-main.nolayer.ip-172-16-66-212.ec2.internal,2020-02-28 13:16:51,EKS.containereast1-prod-main.nolayer.ip-172-16-66-212.ec2.internal,51,RECOVERY - eks.check_total_procs
{},opsworks.check_ntp_time,offset=-0.001844s;0.500000;1.000000;,EKS.containereast1-prod-main.nolayer.ip-172-16-78-40.ec2.internal,2020-02-28 13:17:30,EKS.containereast1-prod-main.nolayer.ip-172-16-78-40.ec2.internal,51,PROBLEM - opsworks.check_ntp_time
{},eks.check_total_procs,procs=1206;2400;2800;0;,EKS.containereast1-prod-main.nolayer.ip-172-16-71-171.ec2.internal,2020-02-28 13:17:52,EKS.containereast1-prod-main.nolayer.ip-172-16-71-171.ec2.internal,51,RECOVERY - eks.check_total_procs
{},eks.check_load,load1=33.530;64.000;72.000;0; load5=35.360;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-61-51.ec2.internal,2020-02-28 13:18:58,EKS.containereast1-prod-main.nolayer.ip-172-16-61-51.ec2.internal,51,PROBLEM - eks.check_load
{},ALB.HTTPCode_ALB_5XX_Count,cloudwatchmetric=385.0Count;500;600,ELB_/app/euc-autoreservice-alb/ecf9146192cc8475,2020-02-28 13:21:09,ELB_/app/euc-autoreservice-alb/ecf9146192cc8475,51,PROBLEM - ALB.HTTPCode_ALB_5XX_Count
{},Missed_SSD_List,,localhost,2020-02-28 13:24:14,localhost,NULL,PROBLEM - Missed_SSD_List
{},ELB.HTTPCode_ELB_5XX,cloudwatchmetric=0;8;10,ELB_euc-serverfdkelb-local,2020-02-28 13:24:38,ELB_euc-serverfdkelb-local,51,PROBLEM - ELB.HTTPCode_ELB_5XX
